new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
even the vatican voiced concerns today . |||O O O O O O O 
later this hour i 'll speak exclusively to cardinal pio laghi , the man dismatched by pope john paul ii to persuade president bush to avoid war , but we begin with reports from the united nations , the pentagon and the white house . |||O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O 
first to chris burns with news on the president and the secretary of state who switched from diplomacy to talk of war . |||O O O O O O O O O O O O O O O O O O O O O B-TRI O 
cnn_eng_20030306_070606.18 news story 2003-03 - 06 07:29:01 |||O O O O O O O 
25 minutes after the hour . |||O O O O O O 
time for the cafferty file . |||O O O O O O 
a crazy world we live in . |||O O O O O O O 
the supreme court of the united states upheld the toughest three strikes law in the country yesterday . |||O O O O O O O O O O O O O O O O O O 
they rejected challenges to the law of sentences of 25 years to life without parole for a man convicted of stealing some golf clubs and 50 years for a man who stole some videotapes . |||O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O 
the idea is if you have three felony convictions , you 're out of here . |||O O O O O O O O B-TRI O O O O O O O 
the voters overwhelmingly passed the law in 1994 to offset the liberal and lenient judges to let bad people off with nothing more than a slap of the wrist . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
they appealed to the supreme court on behalf of these two people . |||O B-TRI O O O O O O O O O O O 
currently in california , 7000 people serving 25 to year life sentences under the three strikes law . one - third of them -- not that . |||O O O O O O B-TRI O O O O B-TRI O O O O O O O O O O O O O O O 
300 of them are in there for things like petty theft. |||O O O O O O O O O O O 
25 other states that have the three strikes law . |||O O O O O O O O O O 
and that brings us to the question . |||O O O O O O O O 
it was a close vote . |||O O O O O O 
5 - 4 in the supreme court . |||O O O O O O O O 
here is the question of the day . |||O O O O O O O O 
you can e-mail us at am@cnn.com . |||O O B-TRI O O O O 
it 's designed to counter the kind of thing that i found in the new york newspaper this morning where a brooklyn woman who scalded her 4 - year - old to death in a bathtub , walked out of court a free woman yesterday sentenced to five years probation . |||O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O B-TRI O O O O O O O O O O O O B-TRI O O O O O 
it took the child three weeks to die in the hot from -- hospital from the injuries it suffered at the hands of its mother and she 's free . |||O O O O O O O B-TRI O O O O O O O O B-TRI O O O O O O O O O O O O O 
five years probation for killing her 4 - year - old by scalding it to death in the bathtub . |||O O O O B-TRI O O O O O O O B-TRI O O B-TRI O O O O 
cnn_eng_20030306_083604.6 news story 2003-03 - 06 08:36:54 |||O O O O O O O 
tens of thousands of college and high school students stage antiwar protests on campuses yesterday from coast - to - coast . |||O O O O O O O O O O O B-TRI O O O O O O O O O O 
california now , high school and college students there skipped class to show their opposition to a u.s. - led war with iraq . |||O O O O O O O O O O O O O O O O O O O O B-TRI O O O 
the books not bombs demonstration coored naed by the national youth and student peace coalition . |||O O O O B-TRI O O O O O O O O O O O 
record temperatures in the north . |||O O O O O O 
threatening right now to freeze over lake superior surface . |||O O O O O O O O O O 
if so , forecasters say it will be the first time there in about two decades . |||O O O O O O O O O O O O O O O O O 
lake superior , the largest of the five great lakes . |||O O O O O O O O O O O 
it does n't look too frozen there . |||O O O O O O O O 
cnn_eng_20030312_083725.3 news story 2003-03 - 12 08:36:01 |||O O O O O O O 
another story out of belgrade , violence at the highest form . |||O O O O O O B-TRI O O O O O 
the serbian prime minister , zoran djindjic has died of his wounds after being shot , an assassination attempt . |||O O O O O O O O B-TRI O O O O O B-TRI O O B-TRI O O 
apparently , he was on his way to greet reporters at the time outside the main government office there in belgrade . |||O O O O O O B-TRI O B-TRI O O O O O O O O O O O O O 
all this happening about 90 minutes ago based on the wire reports we 're getting here . |||O O O O O O O O O O O O O O O O O 
the word from serbia , zoran djindjic , the prime minister , is dead . |||O O O O O O O O O O O O O B-TRI O 
earlier reports said he was shot in the back , as well as the stomach . |||O O O O O B-TRI O O O O O O O O O O 
cnn_eng_20030312_223733.14 news story 2003-03 - 12 22:57:55 |||O O O O O O O 
the morning papers , because morning papers around the country and around the world are remaking their front page to include the elizabeth smart case , and we end with that tonight . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
with her family on a day when their miracle finally came true . |||O O O O O O O O O O O O O 
she looks very , very healthy . |||O O O O O O O 
and i 'm just so absolutely thrilled . |||O O O O O O O O 
in fact , i had to take a double take and pull her back away from me and say , " is it really you ? " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
all of the children out there deserve to come home to their parents the way -- the way elizabeth has come back to us . |||O O O O O O O O O O O O O O O O O O O O O O O O O 
and i just hope and pray that congress will quickly pass the amber alert so that those children will have a better chance because they cross the state line and they 're out of commission . |||O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O 
and we need to have this here . |||O O O O O O O O 
but i just am so grateful and so thankful . |||O O O O O O O O O O 
reporter : can you describe elizabeth 's demeanor ? |||O O O O O O O O O 
you said she looked good , she was bigger , but she 's been through this horrible ordeal . |||O O O O O O O O O O O O O O O O O O O 
i mean , it was just -- i 'm sure she was just thrilled to be back . |||O O O O O O O O O O O O O O O O O O 
i just -- such happiness and such love . |||O O O O O O O O O 
and i just held her , held her the whole way home . |||O O O O O O O O O O O O O 
i just brought her little brother william in . |||O O O O O O O O O 
and as william and she saw each other , it was such a wonderful reunion for them to just hug , and they -- he would hug her and look at her and hug her and look at her . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
and could n't believe , i think , as a 4 - year - old now that his sister is home . |||O O O O O O O O O O O O O O O O O O O O O O 
with the darkness that surrounds us in these times of the possibility of war that could be coming upon us and a miracle that has been brought to us , an incredible miracle that has been brought to our family , words can not express how grateful we are for the prayers around the world . |||O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
and the answer is yes . |||O O O O O O 
and we have elizabeth back . |||O O O O O O 
this neighborhood , the federal heights neighborhood , everybody 's been ripped up , everybody 's helped , everybody 's prayed to do whatever they can . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
we thank god for all the searchers , for all the people . |||O O O O O O O O O O O O O 
in the history of the world i do n't think a little girl 's been prayed for more than elizabeth smart . |||O O O O O O O O O O O O O O O O O O O O O O 
and we thank you for answering those prayers . |||O O O O O O O O O 
it 's a nice day to have this job . |||O O O O O O O O O O 
we 'll see you tomorrow , 10:00 eastern time . |||O O O O O O O O O O 
-- captions by vitac -- www.vitac.com ... a ceo is about to announce employee of the year . |||O O O O O O O O O O O O O O O O O O 
earlier , several go - getters prepared to accept their award . |||O O O O O O O O O O O O 
... and when i began this journey ... ... when i started this journey ... me ? |||O O O O O O O O O O O O O O O O O 
... i had no idea i 'd |||O O O O O O O 
cnn_eng_20030313_083739.0 news story 2003-03 - 13 08:33:57 |||O O O O O O O 
that her younger sister , mary katherine , was the one who went to her father and said , " dad , i think i know who did this . " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
but it took some four months before they were able to get a picture and identify the picture as this brian david mitchell and then his wife , wanda barzee . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
the other questions , of course , are why did n't elizabeth smart try to escae ? |||O O O O O O O O O O O O O O O O O 
were there opportunities perhaps that she might ab vible to -- able to get away from her abductors ? |||O O O O O O O O O O O O O O O O O O O 
the police are saying she was abducted by knife point and was an opportunity and may have been some kind of fear factor going on . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
we are seeing a lot locally here some photographs that are coming out that show the three , that show mitchell , his wife , and who they believe to be elizabeth smart at a party in september . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
there were times perhaps they were in a park somewhere in salt lake city completely robed in these veiled and robes so you could not see her face . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
there are a lot of questions coming out about why she could not get away from them , that remains to be answered . |||O O O O O O O O O O O O O O O O O O O O O O O O 
the police are going to be holding a press conference later today . |||O O O O O O O O O O O O O 
we 're hoping to get more details about that . |||O O O O O O O O O O 
cnn_eng_20030318_140851.8 news story 2003-03 - 18 14:29:57 |||O O O O O O O 
you 've heard the old saying , the best offense is a good defense ? |||O O O O O O O O O O O O O O O 
perhaps with that in mind , the nation 's threat level back at orange , or high , to discourage and thwart potential terrorist attacks . |||O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O 
what does this mean if you 're traveling you might ask . |||O O O O O O O O O O O O 
to cnn 's patty davis at reagan national airport . |||O O O O O O O O O O 
what are travelers to do and , for that matter , not to do ? |||O O O O O O O O O O O O O O O 
reporter : miles , what that means is tighter security at airports across the country . |||O O O O O O O O O O O O O O O O 
and that could potentially slow you down . |||O O O O O O O O 
some things you may want to do is , first all , just get here a little bit early . |||O O O O O O O O O O O O O O O O O O O O 
now , homeland security chief tom ridge described some of those new security measures on top of the ones that are already in place . |||O O O O O O O O O O O O O O O O O O O O O O O O O 
begin the training for the pilots in the cockpits with firearms . |||O O O O O O O O O O O O 
then you 've got the hardened cockpit doors . |||O O O O O O O O O 
you have training for the flight attendants . |||O O O O O O O O 
you have more federal air marshals . |||O O O O O O O 
you come outside the airline -- the airplane itself and you have technology , 100 % inspection of baggage . |||O O O O O O O O O O O O O O O O O O O O 
you have new trained inspectors for passengers . |||O O O O O O O O 
you enhance airport security outside the perimeter . |||O O O O O O O O 
there will be additional random inspections of vehicles and potentially , depending on the airport , some limitations of indegrees and egress into the airport . |||O O O O O O O O O O O O O O O O O O O B-TRI O B-TRI O O O O 
cnn_eng_20030320_153434.7 news story 2003-03 - 20 15:56:37 |||O O O O O O O 
back to something kelly wallace said . |||O O O O O O O 
she was talking about the somewhat blase attitude of israelis . |||O O O O O O O O O O O 
we were lacking at the front page of the jerusalem post the other day . |||O O O O O O O O O O O O O O O 
the big banner headline that day big and bold , was president bush issues ultimatum . |||O O O O O O O O O O O O O O O O 
on the side column , as an afterthought , sit tense told to carry gas masks wherever they go . |||O O O O O O O O O O O O O O O O O O O O 
it gives you a sense of , perhaps what 50 years of tension and war will do to your mentality . |||O O O O O O O O O O O O O O B-TRI O O O O O O 
but it does also say that the israelis are a bit more blase , if that 's a fair word for it , than perhaps we are . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
president bush , when he talked earlier to reporters , mentioned that this effort is an effort , this war is an effort to make the homeland , our homeland , more secure . |||O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O 
john king , that whole issue of homeland security must be so much on the minds of so many government officials , given the level of the terror alert today . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
reporter : so far , so good is the assessment we 're getting from senior administration officials as they try to track what they worry about most . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
as we have the strikes overseas throughout iraq , there will be retaliatory terror strikes , either by organized terrorist networks or sympathetic terrorists or people against the united states in this country . |||O O O O B-TRI O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O 
no plans , we 're told , to raise the threat level , though it 's already at orange , which is high . |||O O O O O O O O O O O O O O O O O O O O O O O O 
so microsoft of the president 's business has been behind the scenes today . |||O O O O O O O O O O O O O O 
he 's the most senior of about a handful of senior administration officials , including the vice president and the secretary of state . |||O O O O O O O O O O O O O O O O O O O O O O O O 
the national security advisor fanning out , we 're told in phone calls to more than three dozen world leaders offering them an update on what is going on . |||O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O 
but we did here hear from the president a bit earlier today . |||O O O O O O O O O O O O O 
we see baghdad , a capitol under siege . |||O O O O O O O B-TRI O 
mr . bush in the cabinet room at the white house to portray a different image , trying to show in washington , it 's business as usual , urgent business as , but still business as usual with secretary of defense rumsfeld on one side , secretary of state powell on the other . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
the president offered a brief statement in the cabinet room . |||O O O O O O O O O O O 
call my cabinet together to review our strategies , to make the world more peaceful , to make our country more secure . |||O O O O O O O O O O O O O O O O O O O O O O O 
to make the lives of our citizens as healthy and as prosperous as possible . |||O O O O O O O O O O O O O O O 
we heard from secretary rumsfeld who briefed us on the early stages of the war . |||O O O O O O O O O O O O O O B-TRI O 
there is no question we 've set the finest of our citizens into harm 's way . |||O O O O O O O O O O O O O O O O O 
they performed with great skill and great bravery . |||O O O O O O O O O 
we thank their loved ones . |||O O O O O O 
we heard from secretary powell who briefed us on the ever - growing coalition of the willing , nations who support our deep desire for peace and freedom . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
over 40 nations now support our efforts . |||O O O O O O O O 
we 're grateful for their determination . |||O O O O O O O 
we appreciate their vision , and we welcome their support . |||O O O O O O O O O O O 
as well , we discussed the need to make sure we have plans in place to encourage economic vitality and growth . |||O O O O O O O O O O O O O O O O O O O O O O 
we will continue to push for a medicare system compassionate for your seniors . |||O O O O O O O O O O O O O O 
we care deeply about the fact that some children in our society ca n't read . |||O O O O O O O O O O O O O O O O 
we want the best of education for every citizen in america . |||O O O O O O O O O O O O 
this cabinet is confident about the future of our country . |||O O O O O O O O O O O 
we 're confident we can achieve our objectives . |||O O O O O O O O O 
i 'm grateful for their service to their country . |||O O O O O O O O O O 
reporter : so even at the very early stages of a defining moment of bush presidency , the president trying to make the case his eyes and especially the eyes of his cabinet still on the domestic affairs of the united states as the early prosecution of the war continues . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O 
one thing the president said that will be the point of contention around the world , the president called it an ever- growing coalition of 40 countries . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
that is handful more nations that were actively involved in the coalition his father assembled 12 years ago for the persian gulf war , but there is a significant difference , of course . |||O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O 
in this coalition , it ips the united states doing the overwhelming load of the fighting . |||O O O O O O O O O O O O O O O B-TRI O 
british forces on the ground , australian troops scheduled to take part , perhaps in some way . |||O O O O O O O O O O O O O O O O O O 
in the last gulf war , you had arab forces on the ground . |||O O O O B-TRI O O O O O O O O O 
the egyptians , syrians , saudis , qataris taking up arms to expel the iraqi armiy kuwait . |||O O O O O O O O O O O O O O O O O O 
no such participation this time around . |||O O O O O O O 
abc the president says , this is a growing coalition , this is one of the big geo political debates going on around the world as the president |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
cnn_eng_20030325_150531.10 news story 2003-03 - 25 15:29:15 |||O O O O O O O 
we are watching activity in baghdad . |||O O O O O O O 
while we do , we want to tell you marines battling for control of the bridges in the southern city of nasiriyah face stiff resistance from iraqi paramilitary groups today . |||O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O 
for some perspective , let 's turn to miles o' brien with retired air force general don shepperd . |||O O O O O O O O O O O O B-TRI O O O O O O 
if you are going to fight on the ground , you have to encounter bridges somewhere along the way . |||O O O O O B-TRI O O O O O O O O O O O O O O 
a lot of bridges between where the 3 7 cavalry and the rest of the u.s. forces are now and their ultimate destination , downtown baghdad . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
we have the city laid out for you here . |||O O O O O O O O O O 
how many bridges in this city alone ? |||O O O O O O O O 
in this map we have right here , 13 major bridges in downtown baghdad , including the expressway bridge over here . |||O O O O O O O O O O O O O O O O O O O O O O 
three bridges here attaching east baghdad to west baghdad and the palace area . |||O O O O O O O O O O O O O O 
this is one technique , one possible way u.s. forces might seize a bridge , a bridge that might be defended by iraqis . |||O O O O O O O O O O O B-TRI O O O O O O O O O O O O 
let 's look at the animation . |||O O O O O O O 
it does n't really matter for this scenario that we 're laying out here . |||O O O O O O O O O O O O O O O 
this would be representing m1 - a1 tanks coming towards the bridge firing . |||O O O O O O O O B-TRI O O O B-TRI O 
you have to bundle up and line up to go across that bridge . |||O O O O O O O O O O O O O O 
makes it vulnerable to fire from the other side . |||O O O O B-TRI O O O O O 
as we turn the other direction , what you 'll see are these iraqi tanks that are kind of fortified there . |||O O O O O O O O O O O O O O O O O O O O O O 
they have burns in front of them . |||O O O O O O O O 
artillery behind them firing back . |||O O O B-TRI O O 
and then they there goes the smoke screen . |||O O O O O O O O O 
the idea of the smoke screen is to obscure the oncoming forces fire ing at you from being able to see . |||O O O O O O O O O O O O B-TRI O O O O O O O O O 
it obscures you but also obscures them . |||O O O O O O O O 
he comes in and wants to identify his target and he 's got a big -- |||O O O O O O O O O O O O O O O O 
ca n't see through the smoke . |||O O O O O O O 
we 've got some techniques we 're going to show you . |||O O O O O O O O O O O O 
somewhere near we can put down special |||O O O O O O O 
cnn_eng_20030325_220534.6 news story 2003-03 - 25 22:28:57 |||O O O O O O O 
on we go in the meantime . |||O O O O O O O 
again , today , there were disturbing hints , and we underscore hints here , that coalition forces may soon face an attack using chemical weapons . |||O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O 
yesterday the story centered on intelligence regarding enemy intentions . |||O O O O O O O O O O 
today the evidence is somewhat more tangible . |||O O O O O O O O 
reporting for us , cnn 's david ensor . |||O O O O O O O O O 
reporter : the evidence is accumulating that iraq may be planning to use chemical weapons . |||O O O O O O O O O O O O B-TRI O O O 
gas masks turning up in abandoned trenches . |||O O O O O O O O 
in nasiriyah in a building marked as a hospital u.s. |||O O O O O O O O O O 
marines found weapons , atropine antidote kits , and that was not all . |||O O O O O O O O O O O O O O 
they found over 3,000 chemical suits and gas masks as well as a number of iraqi military uniforms . |||O O O O O O O O O O O O O O O O O O O 
reporter : the findings are heightening concerns among coalition forces approaching baghdad since , as the iraqis should know , u.s. and british forces do not use chemical weapons . |||O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O 
u.s. officials say some intelligence indicates a red line may have been drawn around the capital with republican guard units ordered to use chemical weapons once u.s. and allied troops cross it . |||O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O B-TRI O O 
there is also intelligence , officials say , suggesting republican guard units have been issued artillery shells containing chemical agents . |||O O O O O O O O O O O O O O O O O O O O O 
there has been intelligence scraps , who knows how accurate they are , chatter in the system , that suggests that the closer that coalition forces get to baghdad and tikrit the greater the likelihood and that some command and control arrangements have been put in place . |||O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O 
reporter : in baghdad deputy prime minister tariq aziz repeated his government 's stand -- it does not have any kind of weapons of mass destruction . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
when they started to talk about the weapons of mass destruction , we know and we always knew that that was fabrication and lines . |||O O O O O O O O O O O O O O O O O O O O O O O O O 
reporter : experts say saddam hussein 's forces will likely try to hold out in baghdad for as long as possible without using the weapons his government insists it does not have , hoping to build international pressure on the u.s. and britain to back down . |||O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O 
in that sense any use of chemical weapons would be counterproductive to saddam , because it would only galvanize international |||O O O O B-TRI O O O O O O O O O O O O O O O 
cnn_eng_20030327_163556.20 news story 2003-03 - 27 16:58:58 |||O O O O O O O 
for some americans who find themselves spending hours on end watching television coverage of the war , it can be hard to break away . |||O O O O O O O O O O O O O O O B-TRI O O O O O O O O O 
that is especially true if you have a loved one in the war zone . |||O O O O O O O O O O O O B-TRI O O 
but as our candy crowley reminds us , life does and must go on . |||O O O O O O O O O O O O O O O 
reporter : spring - time and a game of catch on the washington mall . |||O O O O O O O O O O O O O O O 
a gentle breeze and a good meal beside the pacific ocean . |||O O O O O O O O O O O O 
that other place , the one on tv all the time , might as well be on another planet . |||O O O O O O O O O O O O O O O O O O O O 
and that may be the point . |||O O O O O O O 
we happen to be at a very nice spot by the beach where this is a chance for people to get away from cnn coverage , everything , and kind of relax |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
time to redefine normal again , which on the homefro nt now seems to mean life as you live it only weirder . |||O O O O O O O O O O O O O O O O O O O O O O O 
i 'm amazed at how unaffected i am by things , how i 'm still coming to work and doing the same things and going for a walk in the morning . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
and it just seems so strange to me that it 's almost a parallel universe . |||O O O O O O O O O O O O O O O O 
more than 70 percent of americans say they are sad about the war . |||O O O O O O O O O O O O B-TRI O 
the barber at hinsville georgia larries that . |||O O O O O O O O 
a lot of them afraid they 're going to lose their jobs , you know , the economy is down and all kind of stuff . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
life on the homefro nt seems the same at farmer 's market in los angeles , but it 's more angst ridden . |||O O O O O O O O O O O O O O O O O O O O O O O 
i do n't think it 's affecting our business as much as i was worried that it would , but you never know it 's going to happen . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
if there 's any kind of terrorism that happens here , i think that would definitely put a damper on everything . |||O O O O O O B-TRI O O O O O O O O O O O O O O O 
nationwide , people shopped less in the first week of the war . |||O O O O O O O O O O O O O 
sales fell 2 percent from the previous week . |||O O O O O O O O O 
air travel has fallen 10 mers since the war began and some hotel chains say cancellations are up. |||O O O O O O O O B-TRI O O O O O O O O O 
60 percent of the people say they 're watching the war . |||O O O O O O O O O O B-TRI O 
my boyfriend has been watching the tv like every single day , every time it comes on , he 's watching it . |||O O O O O O O O O O O O O O O O O O O O O O O 
maybe fewer people are shoning because they 're watching tv. |||O O O O O O O O O O 
maybe fewer are flying because they worry about terrorism or they worry about what the war will do to the economy or maybe it 's everything . |||O O O O O O O O B-TRI O O O O O O B-TRI O O O O O O O O O O O 
there 's no one economic statistics to point to a downturn , it 's an overall feeling , a psychological feeling that everything is frozen , everything is on hold . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
consumers are n't spending , people are n't buying stock , everything is |||O O O O O O O O O O O O O 
cnn_eng_20030329_170349.7 news story 2003- 03 - 29 17:17:30 |||O O O O O O O O 
today 's battles include pictures of the oil field fires in southern iraq . |||O O O O O O O O O O O O O O 
firefighters continue their work at the ramallah oil field . |||O O O O O O O O O O 
officials say they capped one blaze , leaving only two wells still burning out of 500 oil fields in the area . |||O O O O O O O O O O O O O O O O O O O O O O 
they say some iraqis who worked in the field before the war already are asking for their jobs back . |||O O O O O O O O O O O B-TRI O O O O O O O O 
and these pictures show iraqis running for cover just before u.s. planes dropped a bomb near northern iraq . |||O O O O O O O O O O O O B-TRI O O O O O O 
just as they disappear over the ridge , you can hear the planes and the explosions and then you see the cloud . |||O O O O O O O O O O O O O O O B-TRI O O O O O O O 
ask any american marine and they 'll tell you they 'll do anything possible to recover the bodies of fallen comrades . |||O O O O O O O O O O O O O O O O O O O B-TRI O O 
that grim task was carried out by marines engaged in the fierce battle for the city of nasiriyah nasiriyah . |||O O O O O O O O O O O O B-TRI O O O O O O O 
aless so vinci is there with the marines . |||O O O O O O O O O 
cnn_eng_20030331_123648.4 news story 2003-03 - 31 12:35:45 |||O O O O O O O 
usairways is flying its way out of bankruptcy . |||O O O O O O O B-TRI O 
the company which lost nearly $ 4 billion over the past two years has cut its annual costs by nearly $ 2 billion . |||O O O O O O O O O O O O O O O O O O O O O O O O 
most of that was saved by cutting employee wages and benefits . |||O O O O O O O O O O O O 
you see there , just about almost 140 points . |||O O O O O O O O O O 
nasdaq down 20 and the s&p is down , as well . |||O O O O O O O O O O O O 
so the markets are continuing their negative trend from last week . |||O O O O O O O O O O O O 
we 'll keep our i on that . |||O O O O O O O O 
coming up right here , next hour on live from , terror tactics on the battlefield . |||O O O O O O O O O O O O O O O O O 
is it a taste of more to come in iraq ? |||O O O O O O O O O O O 
we 'll talk with a terror expert about that , and iraqi deserters on the northern front . |||O O O O O O O O O O O O O O O O O O 
ben wedeman has their story why they 're no longer fighting for saddam hussein and don shepperd is going to answer some of your questions as he looks at the battle hot spots . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
now let 's go back to wolf blitzer in kuwait city for more special coverage of the war in iraq. |||O O O O O O O O O O O O O O O O O O O O 
cnn_eng_20030331_193655.14 news story 2003-03 - 31 19:58:50 |||O O O O O O O 
we 're getting late word tonight that geraldo rivera may not be be kicked out of iraq after all . |||O O O O O O O O O O O O O B-TRI I-TRI O O O O O 
originally the central command said the veteran fox news correspond was being expelled because he compromised the location of the unit he 's been embedded with . |||O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O 
now a spokesman from the central command is saying and i 'm quoting " frankly , we have bigger and more important things to do . " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O 
during a live broadcast geraldo drew a map in the sand showing the location of the unit in relation to baghdad . |||O O O O O O O O O O O O O O O O O O O O O O 
says he 's not aware he 's being expelled but says if so , it is because some bitter former colleagues of his at msnbc blew the whistle on him . |||O O O O O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O 
it sounds to me like some rats at my former network , nbc , are spreading some lies about me . |||O O O O O O O O O B-TRI O O O O O O O O O O O 
you know , they ca n't compete fair and square on the battlefield so they 're trying to stab me in the back . |||O O O O O O O O O O O O O O O O O O O O O O O O 
it is not first time . |||O O O O O O 
the central command on the other hand says rivera is being kicked out of iraq because " he gave away the big picture stuff . " |||O O O O O O O O O O O B-TRI I-TRI O O O O O O O O O O O O O 
all of this now under review , whether or not geraldo stays or goes . |||O O O O O O O O O O O O O B-TRI O 
we 'll continue to monitor that front on the store yix another veteran war correspondent is being fired for his controversial conduct in iraq . |||O O O O O O O O O O O O O O O O O B-TRI O O O O O O O 
nbc is terminating freelancer reporter peter arnett for statements he made to the iraqi media . |||O O B-TRI O O O O O O O O O O O O O 
we showed you the statements yesterday . |||O O O O O O O 
he said the coalition 's first war plan had failed because of iraqi resistance . |||O O O O O O B-TRI O O O O O O O O 
today he appeared on on nbc 's " today " show and said he was sorry . |||O O O O O O O O O O O O O O O O O 
i want to apologize to the american people for clearly making a misjudgment over the weekend by giving an interview to iraqi television . |||O O O O O O O O O O O O O O O O O O O O O O O O 
now , i said in that interview essentially what we all know about the war , there have been delays in implementing policy , there has been surprises . |||O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O 
but clearly by giving that interview to iraqi television , i created a firestorm in the united states . |||O O O O O O O O O O O O O O O O O O O 
and for that i am truly sorry . |||O O O O O O O O 
arnett had been covering the war for national geographic , which also fired him as tv reports were given exclusively to nbc and msnbc. |||O O O O O O O O O O O O B-TRI O O O O O O O O O O O 
late word from london that the tabloid the daily mirror just hired peter arnett to be its correspondent in baghdad . |||O O O O O O O O O O O B-TRI O O O O O O O O O 
but the question remains did peter arnett and geraldo rivera cross the line ? |||O O O O O O O O O O O O O O 
or were they within their rights as reporters ? |||O O O O O O O O O 
we posed that question to michael wolf , a contributing editor for " new york " magazine , a media columnist , an important article in the new issue of " new york . " |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
he 's joining us now live from qatar . |||O O O O O O O O O 
what do you say to the question , michael ? |||O O O O O O O O O O 
well , you know , i think i 'm |||O O O O O O O O O 
cnn_eng_20030401_073033.14 news story 2003- 04 - 01 08:59:49 |||O O O O O O O O 
meanwhile , as war is fought a world away , federal , state and local authorities face their own battle keeping americans safe at home . |||O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O 
president bush said yesterday the threat of domestic terrorism remains high . |||O O O O O O O O O O O O 
the dying regime if iraq may try to bring terror to our shore shores . |||O O O O O O O O O B-TRI O O O O O 
other parts of the global terror network may view this as a moment to strike , thinking that we 're distracted . |||O O O O O O O O O O O O O O B-TRI O O O O O O O 
what still needs to be done to keep americans safe at home , steven berle tacks that issue in " after how america confronted the september 12th era. " congratulations . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
what comes out yesterday , on two best - sellers list . |||O O O O O O O O O O O O 
you 've spent over a year investigating the subject . |||O O O O O O O O O O 
you had unprecedented access not only to secretary ridge but the attorney general and other player in this post-september 11th environment . |||O O O O O O O O O O O O O O O O O O O O O O 
how vulnerable do we continue to be ? |||O O O O O O O O 
